age,no_of_respondents
93,425000
93,426000
93,432000
93,435000
94,435000
93,438000
93,439888
94,440000
93,440000
93,440000
92,440000
93,445000
94,450000
93,450000
92,452000
97,453000
93,455000
93,455000
93,468000
94,470000
93,470000
96,478000
96,488000
96,490000
96,492000
96,500000
94,505000
97,515000
94,520000
94,520000
95,526888
95,528000
97,530000
93,530000
99,535000
93,468000
94,470000
93,470000
110,375000
110,385000
111,395000
110,400000
110,405000
112,410000
110,410000
110,412000
110,415000
110,415000
112,420000
110,420000
110,420000
110,425000
110,428000
110,435000
112,435000
110,436000
110,437000
110,438800
110,440000
110,440000
114,440000
110,443888
112,445000
112,445000
110,448000
110,452000
110,458000
110,460000
110,465000
110,470000
114,490000
113,570000
115,578000
112,600000
113,640000
128,545000
128,548000
45,245000
60,290000
66,294000
59,298000
76,300000
60,310000
60,315000
60,316000
60,321000
68,325000
65,328000
70,340000
65,350000
59,373000
65,395000
65,400000
65,400000
73,415000
65,450000
59,450888
60,516000
69,530000
63,550000
67,560000
82,503000
105,650000
94,668000
105,670000
109,685000
98,700000
90,705000
93,735000
87,750000
96,755000
94,760000
92,763000
96,780000
114,600000
118,755000
117,800000
117,820000
110,865000
125,968000
153,997000
90,300000
90,315000
87,323000
90,336000
101,347000
90,355000
101,355000
101,360000
93,360000
90,368000
95,376000
95,377888
93,380000
100,385000
96,390000
111,355000
110,368000
110,390000
121,390000
110,394000
110,400000
110,402000
110,403888
111,410000
110,410000
110,415000
110,416000
110,428000
110,442500
120,450000
122,455000
122,465000
137,445000
142,445000
137,465000
131,470000
141,475000
130,488000
141,490000
130,500000
125,505000
141,525000
44,235000
45,253000
48,255000
47,261000
69,330000
67,345000
67,350000
67,350000
68,359000
67,360000
67,365000
92,330000
95,338888
90,345000
90,348000
91,350000
90,350000
90,358000
94,364000
91,365000
90,365000
90,370000
94,372000
95,375888
91,378000
93,385000
90,388000
85,390000
95,390000
91,390000
101,390000
92,392000
90,395000
93,398000
94,398000
90,398000
90,400000
92,400000
95,400000
101,401000
90,405000
96,410000
94,410000
92,413000
96,415000
92,415000
90,418000
94,419000
93,420000
88,420000
92,423888
93,425000
94,425000
102,428000
90,428888
92,430000
93,435000
94,435000
94,435000
95,440000
90,440000
96,445000
96,445000
92,445888
99,450000
93,460000
93,470000
90,480000
90,480000
90,498000
90,500000
90,505000
93,508000
90,520000
90,520000
93,470000
111,365000
111,378000
110,385000
111,388000
115,388000
110,390000
111,393000
111,396000
110,400000
115,400000
110,405000
111,405000
114,405000
115,410000
110,415000
110,415000
111,415000
115,420000
110,420000
115,420000
116,420000
110,420000
110,425000
110,425000
110,426000
111,428000
122,430000
114,430000
110,433000
110,433000
110,438000
110,438000
110,440000
111,440000
111,442888
121,449000
110,450000
115,450000
120,450000
110,453000
122,455000
110,458000
110,460000
110,465000
110,468000
121,470000
123,485000
116,495000
110,498000
110,510000
110,468000
131,480888
130,490000
129,495888
130,502000
135,525000
125,538888
125,540000
130,555000
142,560000
130,565000
141,570000
140,578000
141,580000
125,595000
125,600000
64,256000
60,302000
73,325000
64,375000
91,345000
83,355000
100,366000
91,380000
100,390000
100,415000
110,425000
91,430000
91,440000
93,463000
92,476000
91,478000
105,478000
84,525000
103,535000
89,540000
111,560000
99,680000
122,499000
140,518000
131,570000
147,650000
150,660000
147,703000
149,715000
156,870000
150,870000
141,905000
64,280000
75,300000
64,305000
74,310000
74,310000
67,313000
74,315000
73,317000
74,325000
73,325000
74,325000
74,325000
74,325000
73,330000
74,330000
74,340000
74,342000
75,345000
75,345000
73,350000
73,358000
73,360000
74,360000
74,370000
74,370000
75,375000
84,375000
108,380000
84,380000
91,390000
84,390000
84,400000
100,402000
100,405000
104,408000
84,408000
100,408000
84,410000
103,410000
105,410000
109,415888
89,418000
102,418000
105,420000
108,420000
84,420000
106,420000
103,420000
103,425000
103,425000
108,428000
104,430000
103,433000
94,435000
102,435000
104,438000
102,440000
105,440000
103,445000
91,448000
115,448000
102,448888
107,450000
106,453000
99,458000
104,465000
103,470000
104,470000
105,478000
100,480000
102,485000
104,487000
104,488000
104,495000
94,550000
92,580000
103,470000
104,470000
124,440000
121,450000
120,460000
122,460000
139,470000
141,488000
121,490000
121,500000
126,503000
122,505000
122,520000
122,520000
132,525000
123,530000
122,535000
133,540000
122,545000
121,547000
123,551000
135,552000
122,560000
124,585000
111,715000
109,720000
110,720000
111,740000
107,752000
144,580000
146,600000
144,610000
144,625000
146,640000
154,680000
145,708000
146,740000
40,205000
40,215000
43,220000
43,236000
57,252000
67,263000
67,265000
67,265000
68,270000
66,270000
61,270000
66,270000
65,300000
65,300000
67,300000
67,300000
67,307000
67,308000
68,310000
65,320000
65,320000
68,325000
67,328000
78,338000
65,340000
68,365000
74,405000
74,420000
74,436000
70,555000
82,345000
82,350000
82,365000
100,435000
97,435000
87,438000
84,450000
104,485000
103,498000
102,515000
104,530000
103,555000
104,580000
104,595000
102,600000
100,610000
91,663000
101,698000
91,700000
92,700000
86,726000
91,820000
123,572000
132,572000
120,680000
135,718000
119,790000
110,825000
113,850000
110,855000
147,950000
117,963888
117,970000
146,710000
146,735000
146,765000
144,880000
65,230000
67,235000
78,235000
76,245000
65,250000
69,250000
68,255000
74,256000
60,260000
67,264000
60,268000
73,280000
69,285000
67,288888
83,305000
91,265000
90,300000
84,300000
84,310000
89,315000
84,322000
99,323000
85,328000
106,328000
92,330000
92,330000
96,330000
102,330000
100,330000
104,330000
103,335000
102,338000
100,338000
102,338000
86,340000
92,340000
104,340000
102,343888
100,345000
102,345000
90,345000
104,345000
106,345000
102,346000
91,348000
101,350000
101,353000
102,355000
90,358888
101,362000
101,365000
99,365000
90,365000
90,365000
101,368000
101,370000
94,370000
90,375000
100,380000
105,380000
97,383000
104,385000
102,385000
92,387000
105,390000
107,390000
93,395000
92,405000
92,405000
107,408000
93,410000
107,420000
107,430888
121,360000
121,365000
110,370000
124,375000
122,380000
110,380000
122,390000
122,390000
120,392000
120,398000
110,398000
125,402000
122,403888
118,407650
121,408000
112,410000
122,415000
113,417000
121,418000
134,420000
120,420000
114,420000
114,422000
126,423000
110,428000
121,430000
111,430000
112,435000
115,435000
121,435000
124,439000
120,440000
121,445000
125,445588
121,448000
118,450000
112,458000
112,458000
125,485000
122,488000
128,495000
131,483000
154,485000
131,505000
138,548000
141,570000
174,580000
143,600000
144,600000
145,610000
164,635000
145,638888
174,718888
189,760000
192,850000
47,240000
48,268000
65,245000
64,250000
67,255000
68,256000
73,260000
73,260000
67,265000
73,268000
64,268000
67,268500
67,269000
67,273000
68,275000
73,275000
73,276000
74,280000
67,280000
68,285000
64,288000
77,290000
74,290000
74,290000
67,296000
74,300000
67,303000
67,305000
67,308000
67,310000
67,313000
60,315000
67,320000
82,323000
67,328888
74,340000
84,277000
84,285000
84,300000
84,300000
84,300000
84,310100
84,318000
84,319000
84,320000
104,320000
84,325000
84,325000
84,326000
83,330000
96,330000
84,330000
84,330000
104,333000
84,338000
97,338000
104,343000
93,360000
93,360000
104,362000
95,365000
84,368000
112,370000
108,370000
103,370000
105,372000
93,373000
93,373000
105,375000
105,378000
105,380000
98,383000
104,388000
104,390000
104,393000
93,395000
93,395000
93,400000
93,408000
105,410000
93,412000
105,418000
92,420000
97,430000
93,430000
93,435000
104,443000
97,460000
122,378000
125,398000
121,420000
121,430000
121,448888
122,470000
122,490000
145,500000
142,525000
142,585000
153,590000
146,590000
169,600000
159,730000
44,215000
44,249000
68,250000
67,258000
67,260000
68,266000
68,268000
67,268000
67,270000
67,270000
67,273000
68,278000
68,278000
68,285000
67,289000
67,290000
68,290000
68,295000
67,300000
73,303000
68,305000
68,305000
68,308000
74,308000
67,308000
68,310000
73,310000
68,310000
68,311000
68,313000
73,315000
67,316000
73,320000
82,322800
74,325000
67,328000
89,340000
82,340000
75,350000
73,360000
82,365000
82,368000
82,368888
75,373000
82,378000
73,395000
70,430000
92,385000
91,388000
91,405000
97,418000
92,420000
92,428000
92,435000
93,438000
98,445000
92,445000
92,450000
92,450000
100,465000
92,475000
92,478888
92,483888
92,488000
98,525000
88,595000
95,608000
87,648000
91,658000
90,660000
121,565000
119,580000
121,585000
120,602800
136,635000
121,638000
119,638888
118,650000
110,650000
122,680000
110,777000
111,778500
135,798000
135,818888
121,945000
156,860000
59,256000
68,265000
59,268000
65,270000
67,270000
65,270000
65,275000
67,278000
59,278000
67,280000
67,280000
67,280000
60,283000
67,285000
60,285000
67,288000
64,290000
76,290000
68,293000
68,300000
68,302000
67,305000
67,305000
67,308000
65,308000
76,308000
67,309000
68,310000
65,310000
67,313000
67,315000
67,315888
82,316288
66,319000
67,320000
67,325000
68,325000
67,333000
73,333999
82,350000
82,378000
73,385000
88,315000
90,330000
83,340000
84,355000
88,366000
91,375000
84,375000
82,375888
90,391000
92,392000
92,395000
93,400000
91,408000
91,410000
92,418000
92,420000
98,420000
92,430000
91,435000
108,440000
103,455000
92,475000
105,508000
105,510000
105,518000
92,620000
94,670000
121,450000
122,460000
121,485000
125,490000
121,505888
125,518000
126,520000
123,535000
121,535000
115,536000
115,555000
117,563000
115,565000
119,572000
119,593000
117,600000
114,608000
117,610000
110,698000
117,715000
143,655000
147,678000
143,820000
146,870000
64,428000
67,450000
108,470000
84,500000
84,512000
104,550000
103,563000
105,575000
104,576000
101,585000
103,598000
113,618000
103,630000
95,728000
95,810000
108,470000
122,668000
134,680000
121,725000
120,725000
127,760000
133,775000
121,778000
121,788000
121,788800
123,790000
121,790000
120,1028888
120,1038000
120,1050000
146,880000
142,1000000
163,1080000
64,245000
64,250000
64,260000
64,260000
68,260000
74,260000
68,260000
68,260000
64,262000
69,265000
64,268000
67,272000
73,273000
73,274000
67,275000
68,275000
73,275000
73,275000
68,275000
67,280000
74,285000
73,285000
73,285000
68,285000
67,295000
73,295000
73,300000
73,300000
73,302000
73,305000
89,300000
83,312000
84,315000
84,330000
84,330000
93,350000
93,360000
106,368000
93,372000
105,400000
105,400000
93,405000
100,405000
92,412000
104,420000
92,425000
102,430000
103,440000
103,440000
102,450000
92,460000
92,465000
90,570000
118,479000
118,485000
121,505000
118,550000
132,582000
150,640000
149,668000
113,738888
147,528000
148,605000
146,630000
141,648000
145,678000
139,720000
31,175000
31,203000
51,240000
45,244800
43,265000
48,279000
59,265000
59,270000
59,285000
59,295000
59,306000
65,308000
54,310000
67,320000
67,327888
60,328000
67,330000
67,337000
64,338000
54,346000
67,348000
66,350000
70,350000
76,350000
76,353000
67,353888
59,355000
76,360000
65,360000
67,380000
76,392000
60,430000
72,440000
76,448000
81,454888
60,500000
62,515000
62,540000
69,558000
69,590000
88,618000
88,650000
74,428000
81,475000
91,480000
104,534000
103,540000
103,540000
105,560000
104,575000
100,598000
85,612000
90,645000
87,650000
90,650000
90,670000
85,685000
100,700000
90,735000
90,736000
90,738000
93,738000
95,745000
89,752000
100,758000
95,760000
90,785000
88,803888
100,805000
94,805000
95,820000
95,860000
114,620000
115,640000
117,643000
115,645000
117,648888
118,660000
122,685000
136,710000
121,710000
118,717000
126,752000
115,840000
110,848000
115,853000
120,870000
115,950000
73,253888
64,272500
73,280000
68,300000
70,342000
84,300000
84,300000
84,310000
84,310000
104,315000
84,315000
84,318000
104,330000
108,338000
102,338000
104,340000
103,340000
90,340000
104,346000
100,351688
90,357000
101,360000
92,360888
93,375000
93,381000
91,428000
90,430000
93,438000
93,448000
93,450000
93,455000
93,460000
93,475000
110,407000
121,415000
122,420000
111,442000
110,443000
110,449000
110,460000
110,468000
110,470000
111,470000
122,478000
123,545000
121,548888
123,595000
121,603000
120,626888
110,468000
110,470000
111,470000
132,450000
128,462700
150,495000
146,550000
146,560000
146,578000
145,620000
130,635000
130,710000
126,743000
131,748000
131,750000
130,840000
65,400000
108,550000
104,680000
122,823000
54,245000
56,318000
65,376000
60,455000
82,435000
75,475000
82,655000
96,868000
95,900000
94,910000
107,888000
74,268000
73,271000
73,276888
73,280000
73,280000
91,290000
104,303000
92,315000
103,318888
101,319000
91,320000
104,328000
109,328000
103,329888
103,330000
91,330000
103,335000
104,335000
100,335000
90,340000
100,345000
85,350000
100,350000
103,352000
111,353000
104,358888
112,359000
104,360000
104,363000
92,370000
108,370000
100,370000
104,373000
103,375000
101,380000
92,380000
92,380000
106,408000
112,408888
113,470000
113,470000
110,340000
110,357000
110,373228
110,382000
123,385000
129,386000
123,390000
110,395000
115,400000
110,400000
133,400000
110,401500
122,405000
132,406000
122,415000
121,415000
133,420000
121,420000
126,426000
121,460000
132,464000
124,479000
121,495000
123,540000
141,475000
146,485000
142,495000
146,515000
141,516000
146,550000
146,555000
146,558000
148,571000
67,270000
67,275000
67,283000
67,288888
68,292000
67,295000
67,303000
67,305000
67,325000
67,332000
67,338000
67,345000
67,345000
67,352000
67,355000
67,356000
67,360000
67,360000
67,383000
67,420000
83,335000
91,365000
91,380000
93,400000
92,415000
91,416000
92,420000
111,485000
94,535000
92,680000
96,688888
103,695000
90,700000
119,545000
147,888000
42,210000
50,210000
45,218000
45,220000
45,220000
60.3,200000
52,210000
65,218000
58,223000
60,225000
60,235000
58,235000
60.3,243000
56,245000
59,245000
60,260000
65,265000
59,268000
63.1,275000
56,280000
66,280000
65,284000
65,285000
59,310000
60,330000
65,330000
64,330000
56,335000
74,388000
74,390000
60,468000
60,468000
89,345000
84,400000
91,450000
102,550000
90,578000
108,600000
95,628000
95,650000
95,655000
93,758000
117,600000
127,632000
120,670000
120,900000
142,770000
146,838000
47,233000
47,265000
59,255000
59,265000
74,270000
67,275000
67,280000
74,280000
67,285000
67,293000
64,297000
67,300000
67,350000
90,330000
91,335000
84,341000
93,342000
84,345000
84,345000
91,350000
93,350000
84,350000
96,350000
93,360000
90,368000
91,370000
104,370000
90,380000
101,380000
100,385000
101,388888
91,395000
108,395000
100,395000
101,395000
92,400000
104,400000
92,405000
103,405000
101,408000
104,408000
105,410000
104,410000
104,418000
104,422888
108,430000
105,430000
104,455000
103,510000
110,415000
116,435000
121,445000
116,465000
121,468000
121,480000
131,483000
121,518000
121,550000
122,580000
123,585000
121,468000
137,570000
150,616000
145,620000
141,620000
148,860000
64,255000
67,262000
72,270000
68,279000
74,280000
67,285000
68,290000
82,330000
99,350000
93,383500
100,384000
105,415000
87,415000
90,420000
104,425000
92,465000
101,468000
101,468000
104,335000
114,400000
121,447000
110,450000
117,460000
131,491888
121,505000
120,588000
120,618000
120,635000
140,770000
145,792000
52,240000
48,260000
65,225000
59,227000
61,228000
59,230000
65,235000
65,235000
59,240000
61,240000
65,240500
74,242000
65,245000
65,248000
65,250000
65,257000
65,257000
67,265000
73,271000
73,275000
73,288000
73,288000
74,295000
73,300000
74,300000
74,305000
81,308000
67,310000
73,318000
82,330000
67,343888
84,308000
85,310000
104,310000
104,315000
108,315000
94,320000
109,325000
104,325000
107,330000
104,335000
104,336800
109,345000
110,345000
105,345000
104,348000
104,348000
108,350000
89,350000
104,350000
107,350000
104,355000
103,358000
91,360000
91,360000
106,360000
104,360000
91,368000
104,368000
106,370000
107,372000
103,380000
91,385000
85,385000
100,390000
91,390000
103,392000
94,395000
91,400000
102,400000
86,408000
93,408000
91,420000
91,425000
91,430000
106,435000
104,436000
90,440800
103,445000
94,450000
89,450000
111,382000
121,385000
129,390000
121,400000
111,400000
111,408000
122,408888
112,420000
111,420000
111,420000
110,425000
110,430000
111,435000
110,439000
110,440000
110,440000
110,440000
110,446000
110,450000
127,450000
110,458000
110,458888
110,460000
121,460000
110,460000
110,460000
110,460000
110,465000
110,465000
109,468888
116,472000
110,478000
110,490000
114,490000
110,493000
111,495000
110,500000
110,500000
115,505000
110,508000
115,510000
112,510000
115,523000
115,635000
109,468888
130,531888
148,540000
130,550000
143,565000
134,570000
146,575000
146,580000
139,610000
132,625000
132,665000
45,220000
59,240000
65,268000
65,270000
63,283000
63,290000
66,290000
68,320000
76,323000
65,333000
65,340000
60,341000
68,349000
68,360000
68,365000
68,370000
63,380000
60,381000
91,362000
95,405000
88,427000
94,475000
85,495000
92,505000
77,528000
103,543000
104,570000
105,590000
100,608000
108,616000
108,620000
89,728000
95,828000
105,588000
120,600000
114,630000
117,635000
129,698000
120,700000
110,815000
113,835000
115,880000
109,955000
144,780000
144,788000
65,350000
65,390000
76,420000
76,430000
76,435000
76,438800
82,575000
130,870000
117,925000
66,295000
84,330000
84,359000
104,370000
105,385000
105,385000
108,390000
104,395000
106,395000
107,395000
105,396000
106,400000
111,400888
105,405000
104,410000
104,410000
104,418000
109,425000
103,430000
104,435000
105,436000
113,438888
116,440000
105,443000
105,455000
110,480000
123,450000
127,455000
122,463800
125,465000
123,470000
125,478000
127,482000
123,505000
128,518000
146,520000
147,535000
146,540000
148,540000
147,580000
146,595000
149,595000
146,600000
149,630000
147,635000
146,635000
146,643880
145,660000
146,668888
147,778000
69,335000
70,350000
69,358000
68,358000
69,360000
70,368000
73,392000
85,338000
90,347000
90,348000
95,355000
90,355500
90,360000
90,360000
85,363000
91,365000
86,365000
90,365000
85,365888
91,368000
90,368000
90,368000
90,369000
94,370000
90,375000
92,375000
90,380000
93,380000
95,388000
93,390000
91,395000
90,395000
91,397500
93,400000
90,400000
91,400008
93,405000
92,408000
93,410000
93,410000
90,410000
94,425000
93,425000
94,430000
93,430000
93,433000
92,435000
92,436000
93,448000
93,450000
93,450000
94,455000
93,455000
96,455000
93,455888
93,462500
96,468000
96,470000
95,470000
93,472000
97,475000
95,477000
95,483000
95,485000
96,485000
96,486000
95,495000
93,495000
96,500000
99,505000
97,505888
99,508000
97,520000
93,520000
93,530000
97,530000
93,535000
93,538000
96,468000
96,470000
95,470000
110,378000
110,380000
110,380000
111,385000
111,385000
111,388000
110,388000
111,390000
110,395000
110,400000
110,400000
110,400000
110,405000
110,420000
110,420000
110,421000
110,425000
111,426888
110,428000
112,430000
110,430000
110,435000
110,438888
110,447500
110,448000
114,450000
111,450000
110,450000
110,451888
110,460000
110,460000
110,465000
114,470000
114,475000
112,570000
115,575000
115,585000
114,588000
116,590000
112,605000
112,635000
130,520000
128,545000
128,555000
128,555000
130,575000
128,580000
46,200000
48,240000
48,250000
47,360000
59,265000
67,280000
55,288000
60,305000
69,336000
59,350000
66,350000
65,355000
65,356000
59,369000
59,375000
59,375000
65,380000
65,388000
65,445000
70,488000
69,505000
67,518000
70,550000
63,565000
82,495000
87,520000
82,520000
88,590000
92,675000
105,688000
92,710000
96,718000
90,718000
90,735000
98,750000
85,760000
92,772888
87,806000
92,865000
118,680000
125,700000
133,740000
113,900000
124,907000
124,980000
117,1030000
150,860000
156,1160000
90,290000
85,300000
87,315000
90,315000
87,316555
86,318000
88,321000
90,325000
86,330000
91,330000
86,330000
90,335000
90,335000
88,338000
95,340000
100,340000
86,341888
90,348000
91,348000
90,355000
90,355000
102,358000
90,360000
96,362000
94,380000
93,395000
95,400000
93,405000
110,340000
110,360000
121,362000
118,370000
110,378000
110,380000
110,380000
110,390000
110,398000
111,400000
110,402000
110,405000
110,418000
110,425000
121,428000
110,428000
110,428888
110,450000
123,453000
115,455000
111,458000
113,460000
113,480000
131,450000
141,455000
131,465000
139,465000
130,480000
130,490000
131,491000
130,495000
141,514000
67,342000
67,350000
68,350000
68,355000
68,360000
69,361000
69,365000
67,366000
90,315000
85,328000
92,335000
94,335000
91,340000
92,343000
90,345000
91,347500
90,348000
91,348000
100,350000
85,351500
90,353000
92,355000
90,368000
90,368000
85,370000
90,372000
102,375000
94,375000
90,378000
95,378000
92,380000
90,380000
90,385000
92,388000
90,390000
93,390000
94,392000
94,395000
102,403000
96,405000
96,408000
92,410000
93,415000
93,415000
93,415000
96,415000
95,418000
93,420000
93,420000
92,422000
93,422000
90,425000
98,428000
93,430000
95,431000
90,432000
96,438000
94,440000
95,440000
91,442000
98,443000
94,445000
90,448000
94,448000
96,450000
90,455000
92,458000
99,461000
90,468000
90,480000
91,482888
92,488000
90,488000
90,490000
93,490000
90,502000
92,520000
90,525000
90,525000
92,525000
90,530000
90,548888
90,468000
110,385000
110,385000
111,386000
112,392000
110,395000
121,400000
116,400000
121,410000
110,410000
110,415000
116,415000
110,418000
110,418000
110,423000
115,428000
109,430000
116,430000
110,430000
110,433800
115,435000
110,435000
113,435888
115,436000
122,437000
110,440000
110,448000
110,450000
110,455000
110,455000
110,455000
110,455000
110,458000
113,458000
114,460000
110,460000
112,462000
121,465000
114,470000
110,470000
110,480000
110,480000
110,490000
110,490000
115,512000
113,515000
113,520000
130,438000
131,488000
125,545000
130,560000
130,565000
130,566888
131,576000
125,588000
125,605000
130,616000
60,280000
67,296000
70,300000
67,308000
67,320000
64,330000
64,333000
64,370000
83,338000
86,342000
104,345000
100,360000
100,370000
91,373000
101,375000
104,395000
104,395000
100,398000
94,399000
91,428000
100,430000
91,435000
98,468000
91,478500
84,485000
91,505000
84,520000
113,650000
113,665000
98,468000
122,495000
125,500000
119,520000
125,520000
120,540000
115,750000
145,605000
150,670000
145,685000
148,708000
141,938000
67,293000
60,298000
74,302000
67,303000
74,305000
73,308000
67,308000
73,310000
64,310000
75,310000
74,313800
76,315000
67,315000
73,320000
83,325000
73,338000
67,348000
74,360000
74,365000
74,375000
79,385000
82,395000
111,378000
105,385000
104,385000
84,388000
84,390000
103,390000
107,390000
110,395000
105,395000
89,400000
91,403000
84,405000
92,405000
109,410000
104,410000
102,410000
106,410000
108,410000
105,420000
105,420000
102,425000
84,425000
103,425000
100,425000
104,425000
104,425000
104,426000
105,430000
103,430000
103,438000
104,438888
104,455000
103,455000
103,460000
104,460000
104,460000
108,463000
104,465000
104,468000
84,472000
104,477500
93,480000
105,483000
104,500000
105,508000
108,515000
92,570000
104,468000
139,445000
123,450000
122,460000
126,470000
125,489000
134,500000
127,505000
120,505000
122,510000
122,513000
122,523000
121,530000
122,538000
123,550000
120,559000
122,568000
121,575000
121,575000
121,582500
136,645000
108,650000
107,658888
146,585000
140,590000
143,598000
148,600000
147,615000
142,640000
146,640000
149,655000
150,660000
146,665000
148,680000
153,700000
150,710000
150,735000
146,740000
142,750000
43,210000
67,260000
67,265000
66,272000
64,275000
66,275000
68,275000
67,280000
67,280000
68,280000
63,285000
67,288000
66,288000
67,290000
67,295000
65,300000
65,300000
67,302000
68,303000
65,308000
65,310000
68,310000
65,312000
65,313000
68,323000
74,400000
74,403000
70,580000
82,330000
82,348000
82,355000
82,355000
82,378000
106,430000
87,435800
93,448000
104,450000
87,450000
104,493000
104,518000
104,525000
84,555000
85,577000
104,590000
91,590000
76,595000
103,600000
91,605000
101,635000
91,680000
86,690000
92,705000
105,710000
91,745000
91,760000
90,800000
122,550000
124,800000
156,840000
110,845000
113,850000
113,855000
110,858000
114,875000
110,888000
117,920000
114,950000
114,958000
117,970000
117,1010000
117,1120000
166,935000
45,188000
60,228000
65,230000
65,240000
73,245000
65,246000
74,248000
73,250000
76,252000
76,256000
68,260000
68,265000
67,275000
68,278000
67,280000
68,288000
73,290000
73,298000
91,270000
92,275000
84,290000
91,300000
84,308000
84,310000
84,311000
89,311000
92,311888
98,312000
103,312000
90,315000
90,321000
103,325000
92,325000
86,325000
103,325000
92,326000
92,328000
103,330000
101,335000
105,335000
98,340000
90,340000
102,340000
103,340000
90,340000
91,340000
100,343000
105,343000
90,347000
97,348888
102,350000
100,350000
91,350000
98,352000
99,355000
103,355000
91,355000
90,355000
115,355000
90,357500
94,357888
90,358000
100,360000
103,360000
102,360000
90,360000
100,362000
90,363000
90,365888
91,367000
101,370000
92,375000
105,375000
104,378000
104,380000
104,380000
100,382000
100,385000
105,385000
103,385000
93,400000
107,416800
93,430000
107,435000
106,438000
110,335000
110,340000
110,360000
124,380000
124,380000
121,380000
121,380000
124,388000
122,390000
122,400000
121,400000
121,410000
110,410000
110,410000
120,410000
120,410000
127,410000
110,415000
126,415000
120,415000
114,415000
121,415000
126,419000
122,420000
111,420000
110,420000
124,425000
121,425000
121,431000
113,432000
110,436000
121,438000
123,440000
110,441000
126,445000
112,446000
120,446800
122,450000
126,458000
122,460000
121,460000
111,465000
121,476888
112,486000
125,486888
147,530000
143,540000
142,551000
141,570000
147,579000
147,595000
145,600000
163,615000
177,650000
163,670888
173,680000
179,715000
192,778000
48,240000
74,245000
64,248888
67,255000
74,260000
73,260000
67,260000
67,260000
67,262000
74,263000
67,265000
64,270000
67,270000
64,270000
74,273000
74,275000
67,275000
74,277000
68,280000
67,280000
67,285000
68,285000
67,286000
67,288000
67,290000
67,295000
67,298000
67,300000
82,302000
67,305000
64,310000
67,310000
67,310000
73,316000
67,319000
67,323888
67,330000
84,275000
84,287000
83,287000
84,288000
90,292000
84,292888
84,298000
84,300000
84,300000
84,300000
84,300000
84,300000
84,305000
85,305000
83,310000
104,310000
84,316888
104,318000
84,318000
84,320000
84,320000
108,328888
84,330000
103,332000
84,336800
84,336888
104,339000
105,345000
84,345000
97,348000
93,350000
104,353000
92,353000
104,355000
104,355000
104,360000
104,365000
103,375000
108,380000
93,380000
105,381000
104,385000
93,386000
104,390000
96,398000
93,398000
105,400000
93,405000
92,408000
92,409000
96,410000
93,410000
96,416000
93,417000
92,420000
92,420000
92,428000
92,448888
121,470000
131,565000
142,548000
146,605000
159,630000
162,750000
44,230000
44,240000
44,257000
67,258000
67,258000
67,267000
67,273000
68,278000
75,280000
67,283000
68,283000
68,285000
67,286888
68,290000
67,290000
67,295000
67,300000
67,302000
67,305000
67,305000
67,305000
82,310000
68,310000
68,315000
67,315000
68,318888
67,319000
67,320000
67,320000
67,320000
67,320000
67,325000
67,325000
74,328000
74,330000
68,330000
81,340000
68,343000
82,345000
68,345000
74,348000
82,350000
82,358000
82,360000
82,375000
88,376000
88,399888
70,448000
70,465000
70,465000
70,480000
92,381000
91,381000
91,390000
92,393000
102,395000
92,405000
91,425000
91,425000
91,430000
98,430000
92,440000
91,450000
92,458000
112,510000
98,520000
90,520000
98,540000
95,572000
95,587000
90,595000
88,635080
85,640000
90,650000
90,712000
94,718000
119,575000
118,600000
120,615000
119,620000
119,655000
119,716000
138,720000
112,756500
111,768000
112,790000
112,838000
67,250000
65,260000
60,270000
67,270000
75,273000
67,280000
67,280000
68,280000
65,280000
68,283000
67,290000
67,290000
68,290000
67,295000
68,295000
68,295000
65,295000
67,296000
65,297000
65,305000
70,305000
68,310000
68,310000
67,312000
73,318000
67,318000
67,320000
76,320000
67,327000
82,330000
68,335000
82,338000
68,338000
82,338000
67,345000
82,355000
82,355000
68,365000
83,390000
90,350000
82,355000
82,358000
84,368000
82,370000
92,375000
85,378000
84,380000
92,390000
93,395000
91,398000
92,400000
92,400000
103,405000
92,408000
92,415000
92,415000
103,415000
92,420000
92,420000
92,423000
92,423000
92,430000
108,438000
92,452000
92,455000
104,460000
105,470000
105,471688
85,488000
92,490000
105,490000
108,495000
104,512000
105,525000
92,540000
105,540000
85,545000
104,625000
97,646000
125,650000
87,671888
105,470000
121,438000
123,450000
121,470000
121,475000
121,480000
122,490000
115,538000
122,545000
122,555000
133,555000
124,560000
115,568000
118,585000
115,588000
120,590000
115,601888
120,645000
116,645000
119,670000
141,672000
118,673000
110,680000
140,690000
118,698000
115,751000
130,810000
120,840000
121,470000
148,705000
156,705000
143,745000
146,760000
143,811888
143,870000
68,257000
64,300000
64,355000
64,385000
88,388000
84,398000
84,470000
84,488000
84,495000
105,510000
84,525000
105,560000
104,568000
105,570000
109,580000
84,590000
106,590000
104,620000
106,622800
108,623000
115,628888
104,630000
116,650000
103,650000
108,670000
95,718000
84,470000
121,725000
122,725000
121,750000
120,750000
138,765000
121,815000
120,938000
120,1005000
147,830000
146,868000
148,890000
149,920000
150,950000
60,250000
68,250000
67,255000
69,255000
65,255000
60,257000
71,260000
68,260000
68,264000
67,267000
67,268000
69,270000
73,270000
69,272000
73,278000
67,278000
67,285000
73,285000
64,285000
67,285000
73,285000
73,290000
69,293000
68,296000
